StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2	DescriptionEN
MB121	Alta	L&oslash;kkeveien 33	ALTA	FINNMARK	NO	9509		https://www.dnb.no		ATM		69.966958	23.271252			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB59	Amfi Senter Os	Prestgardskogen 2 B	OS	HORDALAND	NO	5200		https://www.dnb.no	2:10:00:20:00,3:10:00:20:00,4:10:00:20:00,5:10:00:20:00,6:10:00:20:00,7:10:00:18:00	ATM		60.2024391	5.456243	2:10:00:20:00,3:10:00:20:00,4:10:00:20:00,5:10:00:20:00,6:10:00:20:00,7:10:00:18:00		NOK				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB57	Amfisenteret	Marnavn. 33	MANDAL	VEST-AGDER	NO	4514		https://www.dnb.no	2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:19:00,6:09:00:18:00,7:09:00:15:00	ATM		58.0289555	7.4608397	2:09:00:18:00,3:09:00:18:00,4:09:00:18:00,5:09:00:19:00,6:09:00:18:00,7:09:00:15:00		NOK				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB124	Arendal	Tollbodgaten 1	ARENDAL	AUST-AGDER	NO	4836		https://www.dnb.no		ATM		58.460296	8.766565			NOK, EUR, DKK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB130	Asker	Str&oslash;ket 6	ASKER	AKERSHUS	NO	1370		https://www.dnb.no		ATM		59.83518219	10.43393611			NOK, GBP, DKK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB131	Asker	Str&oslash;ket 6	ASKER	AKERSHUS	NO	1370		https://www.dnb.no	1:07:00:22:00,2:07:00:22:00,3:07:00:22:00,4:07:00:22:00,5:07:00:22:00,6:07:00:22:00,7:07:00:22:00	ATM		59.83518219	10.43393611	1:07:00:22:00,2:07:00:22:00,3:07:00:22:00,4:07:00:22:00,5:07:00:22:00,6:07:00:22:00,7:07:00:22:00		NOK, EUR, SEK				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB132	Askim	A.B. Aarstensgate 2	ASKIM	&Oslash;STFOLD	NO	1830		https://www.dnb.no		ATM		59.582947	11.160865			NOK, EUR, SEK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB50	Beddingen	Solsiden, Beddingen 16	TRONDHEIM	S&Oslash;R-TR&Oslash;NDELAG	NO	7014				ATM		63.435447	10.410483			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB297	Bj&oslash;rvika	Dronning Eufemias gate 16	OSLO	OSLO	NO	0191		https://www.dnb.no		ATM		59.907555	10.760615	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30		NOK, EUR (D&oslash;gn&aring;pen)				<br/><br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB177	Bj&oslash;rvika	Dronning Eufemias gate 30	OSLO	OSLO	NO	0191		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	ATM		59.907555	10.760615	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30		NOK, EUR, USD				<br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
