StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2	DescriptionEN
DNB26	DNB Jessheim	Gotaasalleen 7	JESSHEIM	AKERSHUS	NO	2050		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel<br/>Minibank<br/>DNB Eiendom	60.14042663	11.17446327	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Aotomated deposit machine<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB135	DNB Lillestr&oslash;m	Kanalveien 18	LILLESTR&Oslash;M	AKERSHUS	NO	2004		https://www.dnb.no	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:15:30,7:10:00:15:00	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	59.951497	11.046244	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:15:30,7:10:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:0		0515-0831			Advisory centre without cash<br/>Aotomated deposit machine<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB4	DNB Ski	Jernbaneveien 4	SKI	AKERSHUS	NO	1400		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	59.719972	10.836290	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Aotomated deposit machine<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB28	DNB Sandvika	Leif Tronstads plass 6	SANDVIKA	AKERSHUS	NO	1337		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	59.89291381	10.52377891	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:0		0515-0831			Advisory centre without cash<br/>Automated deposit machine<br/>Coin roll changer<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB122	DNB Oslo Lufthavn - Avgang	Postboks 40	Gardermoen	AKERSHUS		2061		https://www.dnb.no	2:05:30:19:30,3:05:30:19:30,4:05:30:19:30,5:05:30:19:30,6:05:30:19:30,7:05:30:15:00,1:05:30:19:30	Bank,Finance	Salg av valuta i minibank og kontor	60.19342041	11.09965324	2:05:30:19:30,3:05:30:19:30,4:05:30:19:30,5:05:30:19:30,6:05:30:19:30,7:05:30:18:00,1:05:30:19:30	2:05:30:13:00,3:05:30:19:30,4:05:30:19:30,5:05:30:19:30,6:05:30:19:30,7:05:30:15:00,1:05:30:13:00		0515-0831			24-hour depositary 
DNB63	DNB Asker	Str&oslash;ket 6	ASKER	AKERSHUS	NO	1383		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel og mynt<br/>Minibank<br/>DNB Eiendom	59.83517074	10.43393707	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Automated deposit machine<br/>Coin roll dispenser<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB3	DNB Dr&oslash;bak	Holterveien 2A	DR&Oslash;BAK	AKERSHUS	NO	1448		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Minibank<br/>DNB Eiendom	59.674377	10.657283	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB160	DNB Arendal	Tollbodgaten 1	ARENDAL	AUST-AGDER	NO	4836		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/> <br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	58.460296	8.766565	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>Automated deposit machine banknote<br/>Corporate advisors<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB95	DNB Grimstad	Henrik Ibsens gate 12	GRIMSTAD	AUST-AGDER	NO	4878		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Minibank<br/>DNB Eiendom	58.341907	8.595078	2:09:00:15:00,3:09:00:15:00,4:09:00:15:00,5:09:00:15:00,6:09:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:09:00:12:00		0515-0831			Advisory centre without cash<br/>ATM<br/>Real estate<br/> <br/> <br/><br/> 
DNB112	DNB Drammen	Bragernes Torg 11	DRAMMEN	BUSKERUD	NO	3017		https://www.dnb.no	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:15:30,7:10:00:15:00	Bank,Finance	R&aring;dgivningskontor uten kontanter<br/>Innskuddsautomat seddel og mynt<br/>Myntrullveksler<br/>Bedriftsr&aring;dgivere<br/>Minibank<br/>DNB Eiendom	59.74377822	10.20536232	2:09:00:17:00,3:09:00:17:00,4:09:00:17:00,5:09:00:17:00,6:09:00:15:30,7:10:00:15:00	2:10:00:14:30,3:10:00:14:30,4:10:00:14:30,5:10:00:14:30,6:10:00:14:30,j:0,n:0		0515-0831			Advisory centre without cash<br/>Automated deposit machine<br/>Coin roll dispenser<br/>Corporate advisors<br/>ATM<br/>Real estate <br/> <br/> <br/><br/> 
