;;;;;;;;;
;atmID;atmName;atmAddress;zipCode;city;country;latitude;longitude;currency
;NOR51101;Åsane ;Åsane Senter;5116;Ulset;Norway;60.466885;5.321219;NOK, EUR (Døgnåpen)
;NOR51102;Åssiden ;Vårveien 25;3024;Drammen;Norway;59.754018;10.145327;NOK, EUR (Døgnåpen)
;NOR51103;Amfi Senter Os ;Prestgardskogen 2 B;5200;Os;Norway;60.202235;5.456981;NOK
;NOR51104;Amfisenteret ;Marnavn. 33;4514;Mandal;Norway;58.028856;7.461044;NOK
;NOR51105;Arendal ;Peder Thomassensgate 12;4836;Arendal;Norway;58.460777;8.765368;NOK, EUR, DKK (Døgnåpen)
;NOR51106;Asker ;Strøket 6;1370;Asker;Norway;59.835172;10.433937;NOK, EUR, SEK
;NOR51107;Asker ;Strøket 6;1370;Asker;Norway;59.835172;10.433937;NOK, GBP, DKK (Døgnåpen)
;NOR51108;Askim ;A.B. Aarstensgate 2;1830;Askim;Norway;59.582945;11.160854;NOK, EUR, SEK (Døgnåpen)
;NOR51109;Bjørvika ;Dronning Eufemias gate 16;0191;Oslo;Norway;59.908226;10.758859;NOK, EUR (Døgnåpen)
;NOR51110;Bjørvika ;Dronning Eufemias gate 30;0191;Oslo;Norway;59.907588;10.759842;NOK, EUR, USD
;NOR51111;Borge ;Løenveien 5;1653;Sellebakk;Norway;59.227709;10.994835;NOK, EUR (Døgnåpen)
;NOR51112;Borgenhaugen ;Skjebergvn 25;1739;Borgenhaugen;Norway;59.227709;10.994835;NOK (Døgnåpen)
;NOR51113;CC Mart'n Senter ;Jernbanesvingen 6;2821;Gjøvik;Norway;60.799930;10.693014;NOK, EUR
;NOR51114;CC Mart'n Senter ;Jernbanesvingen 6;2821;Gjøvik;Norway;60.799930;10.693014;NOK, EUR
;NOR51115;CC Vest Senter ;Lilleakervn. 16;0283;Oslo;Norway;59.917459;10.635411;NOK, EUR
;NOR51116;CC Vest Senter ;Lilleakervn. 16;0283;Oslo;Norway;59.917459;10.635411;NOK
;NOR51117;Døvlesenteret ;Døvlebygget, Semsbyvn. 81;3170;Sem;Norway;59.282762;10.331502;NOK, EUR
