StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2
101618	Ulsteinvik bedriftssenter	STOREH&Oslash;LVEGEN 16	ULSTEINVIK	M&Oslash;RE OG ROMSDAL	NO	6065		https://www.dnb.no		postal		62.3386581159987	5.88986744660545						
101621	Larvik bedriftssenter	ELVEVEIEN 130	LARVIK	VESTFOLD	NO	3271		https://www.dnb.no		postal		59.0779582746918	10.0630560469609						
101646	Askim bedriftssenter	MASENGVEIEN 1	ASKIM	&Oslash;STFOLD	NO	1814		https://www.dnb.no		postal		59.5750409709483	11.1992536731621						
101647	Sarpsborg bedriftssenter	TORGET 2	SARPSBORG	&Oslash;STFOLD	NO	1707		https://www.dnb.no		postal		59.2843911818768	11.1099358990421						
101648	Moss bedriftssenter	GUDES GATE 1 C	MOSS	&Oslash;STFOLD	NO	1530		https://www.dnb.no		postal		59.4375094013369	10.6661939450723						
101746	Mo i Rana bedriftssenter	NORDRE GATE 13	MO I RANA	NORDLAND	NO	8622		https://www.dnb.no		postal		66.3205996427481	14.1475613954665						
101781	Halden bedriftssenter	GARVERGATA 6	HALDEN	&Oslash;STFOLD	NO	1772		https://www.dnb.no		postal		59.1257947564347	11.3900194616831						
101831	Spjelkavik bedriftssenter	POSTVEGEN 2	&Aring;LESUND	M&Oslash;RE OG ROMSDAL	NO	6018		https://www.dnb.no		postal		62.471615915236	6.34698408930361						
101953	Bragernes bedriftssenter	S&Oslash;REN LEMMICHS GATE 1	DRAMMEN	BUSKERUD	NO	3015		https://www.dnb.no		postal		59.7408387927986	10.2155145663147						
101955	Kolbotn bedriftssenter	SKIVEIEN 44	KOLBOTN	AKERSHUS	NO	1410		https://www.dnb.no		postal		59.8176319549485	10.8082668473395						
101956	Lillestr&oslash;m bedriftssenter	ODALSGATA 25	LILLESTR&Oslash;M	AKERSHUS	NO	2003		https://www.dnb.no		postal		59.9623439603873	11.0481708697917						
121102	Meny Dr&oslash;bak	HOLTERVEIEN 3	DR&Oslash;BAK	AKERSHUS	NO	1448		https://www.dnb.no		postal		59.6727762286843	10.6585432665018						
121108	B&aelig;rum Videosenter	KIRKEVEIEN 97	HASLUM	AKERSHUS	NO	1344		https://www.dnb.no		postal		59.917554750073	10.5609158597564						
121110	Meny Greverud	FL&Aring;TESTADVEIEN 3	OPPEG&Aring;RD	AKERSHUS	NO	1415		https://www.dnb.no		postal		59.7739794055442	10.8032299114961						
121113	Meny Snar&oslash;ya	SNAR&Oslash;YVEIEN 139	SNAR&Oslash;YA	AKERSHUS	NO	1367		https://www.dnb.no		postal		59.881905766616	10.6107111662657						
121118	Kiwi 210 Minnesund	MINNESUNDSENTERET	MINNESUND	AKERSHUS	NO	2092		https://www.dnb.no		postal		60.4029000522726	11.2426455653586						
121139	Extra Gjerdrum	ASK	GJERDRUM	AKERSHUS	NO	2022		https://www.dnb.no		postal		60.0708252041013	11.0352543948181						
121143	Extra L&oslash;venstad	L&Oslash;VENSTADTORGET 12	L&Oslash;VENSTAD	AKERSHUS	NO	2006		https://www.dnb.no		postal		59.9374496378501	11.0215582340696						
121157	Coop Prix Lindeberg&aring;sen	LINDEBERG&Aring;SEN 10	OSLO	OSLO	NO	1068		https://www.dnb.no		postal		59.9288506303187	10.8796141288901						
121180	Extra Huseby	STASJONSVEIEN 69	OSLO	OSLO	NO	0768		https://www.dnb.no		postal		59.9469199386363	10.6548587862908						
121186	Coop Mega B&oslash;ler	B&Oslash;LERLIA 2	OSLO	OSLO	NO	0691		https://www.dnb.no		postal		59.8828183975327	10.8447874315562						
121205	Veng Norge	ISEBAKKEVEIEN 6	HALDEN	&Oslash;STFOLD	NO	1788		https://www.dnb.no		postal		59.1205221250097	11.3074750631208						
121211	Kiwi Nordkisa	STORVEGEN 10	NORDKISA	AKERSHUS	NO	2055		https://www.dnb.no		postal		60.1859981160322	11.2628146311655						
121212	Joker Fenstad	SVANFOSSVEGEN 1	FENSTAD	AKERSHUS	NO	2170		https://www.dnb.no		postal		60.2199344203857	11.3917050230086						
121213	Thorvaldsen Larkollen	SKOGLYVEIEN 1 A	LARKOLLEN	&Oslash;STFOLD	NO	1560		https://www.dnb.no		postal		59.3274052201602	10.6797178344664						
121243	Spar Holmlia	DYRETR&Aring;KKET 31	OSLO	OSLO	NO	1251		https://www.dnb.no		postal		59.8269459675196	10.7843422921202						
121248	Coop Prix Degernes	IDRETTSVEIEN 2	DEGERNES	&Oslash;STFOLD	NO	1892		https://www.dnb.no		postal		59.3563151872393	11.4220182627937						
121265	Joker Skogbygda	SKOGBYGDAVEGEN 512	SKOGBYGDA	AKERSHUS	NO	2164		https://www.dnb.no		postal		60.2289133374849	11.5115561204395						
121275	Kiwi Risum	IDDEVEIEN 35	HALDEN	&Oslash;STFOLD	NO	1769		https://www.dnb.no		postal		59.1175565679981	11.4112356208875						
121278	Meny Vollebekk	BROBEKKVEIEN 52	OSLO	OSLO	NO	0598		https://www.dnb.no		postal		59.9364713212336	10.8269576196433						
121288	Extra Algarheimveien	ALGARHEIMSVEGEN 77	JESSHEIM	AKERSHUS	NO	2052		https://www.dnb.no		postal		60.1407274150997	11.2111811524806						
121291	Meny Kols&aring;s	R&Oslash;DSKIFERVEIEN 1	KOLS&Aring;S	AKERSHUS	NO	1352		https://www.dnb.no		postal		59.9165821073254	10.5007593514022						
121297	Extra Sagene	THURMANNS GATE 12 A	OSLO	OSLO	NO	0461		https://www.dnb.no		postal		59.9355797931196	10.7523889559788						
121305	Kiwi Son	HAVNEGATA 6	SON	AKERSHUS	NO	1555		https://www.dnb.no		postal		59.5259663661354	10.6892365413538						
121322	Coop Prix St.Halvardsgate	ST. HALVARDS GATE 67	OSLO	OSLO	NO	0657		https://www.dnb.no		postal		59.9073162699697	10.7808187224275						
121323	Extra R&aelig;lingen	BUHOLEN 4	R&AElig;LINGEN	AKERSHUS	NO	2005		https://www.dnb.no		postal		59.9464875278965	11.0293983652182						
121325	Matkroken Besserud	HOLMENKOLLVEIEN 96 A	OSLO	OSLO	NO	0784		https://www.dnb.no		postal		59.9572465350171	10.6729953006422						
121327	Jacobs	EKEBERGVEIEN 145	OSLO	OSLO	NO	1178		https://www.dnb.no		postal		59.8811063486804	10.7867224714297						
121345	Spar T&aring;sen	KAJ MUNKS VEI 41	OSLO	OSLO	NO	0876		https://www.dnb.no		postal		59.9525129284907	10.7513301633						
121365	Meny &Aring;neby	&Aring;NEBYVEIEN 17	HAKADAL	AKERSHUS	NO	1484		https://www.dnb.no		postal		60.0890102730607	10.8719921922467						
121371	Kiwi Lillestr&oslash;m Stasjon	STILLVERKSVEIEN 5	LILLESTR&Oslash;M	AKERSHUS	NO	2004		https://www.dnb.no		postal		59.9532978737979	11.0489985195952						
121377	Meny Skjetten	NORDENS VEI 15	SKJETTEN	AKERSHUS	NO	2013		https://www.dnb.no		postal		59.9668380440939	10.9998640045849						
121381	Meny H&oslash;vik	O.H. BANGS VEI 5	H&Oslash;VIK	AKERSHUS	NO	1363		https://www.dnb.no		postal		59.8991792705491	10.5795190552976						
121383	Extra Fetsund	GAMLE FETVEI 20	FETSUND	AKERSHUS	NO	1900		https://www.dnb.no		postal		59.9277222056408	11.1633545239111						
121386	Kiwi Bogerud	STALLERUDVEIEN 105	OSLO	OSLO	NO	0693		https://www.dnb.no		postal		59.8756841069463	10.8432289904845						
121396	Extra Vard&aring;sen	SLOTTSBERGET 2	ASKER	AKERSHUS	NO	1385		https://www.dnb.no		postal		59.82012688704	10.3825094047477						
121404	Extra Finstadjordet	FINSTADLIA 3	FINSTADJORDET	AKERSHUS	NO	1475		https://www.dnb.no		postal		59.9145135827312	10.9679993287291						
121411	Bunnpris S&oslash;rumsand	S&Oslash;RUMSANDVEGEN 69	S&Oslash;RUMSAND	AKERSHUS	NO	1920		https://www.dnb.no		postal		59.9868571468513	11.2421171280946						
121413	Matkroken Gressbanen	HOLMENKOLLVEIEN 43 B	OSLO	OSLO	NO	0376		https://www.dnb.no		postal		59.9492982674418	10.6765786747553						
121417	Ullern Dagligvare	ULLERN ALLÉ 41	OSLO	OSLO	NO	0381		https://www.dnb.no		postal		59.9285379314581	10.6471807599215						
121422	Bunnpris Tr&oslash;gstad	KIRKEVEIEN 36	TR&Oslash;GSTAD	&Oslash;STFOLD	NO	1860		https://www.dnb.no		postal		59.6408295572304	11.3164119967916						
121424	Joker Ulv&oslash;ya	VARGVEIEN 16 A	OSLO	OSLO	NO	0139		https://www.dnb.no		postal		59.870243114794	10.7726664943185						
121425	Extra Aurskog	SENTERVEIEN 10	AURSKOG	AKERSHUS	NO	1930		https://www.dnb.no		postal		59.9270877172121	11.4470831491988						
121426	Rema 1000 Lommedalen	SLAL&Aring;MVEIEN 35	LOMMEDALEN	AKERSHUS	NO	1350		https://www.dnb.no		postal		59.9556019338474	10.4804874242001						
121430	Joker R&oslash;mskog	STORVEIEN 503	R&Oslash;MSKOG	&Oslash;STFOLD	NO	1950		https://www.dnb.no		postal		59.7435755928893	11.8057509172475						
121432	Coop Prix Siggerud	SVALEVEIEN 6	SIGGERUD	AKERSHUS	NO	1404		https://www.dnb.no		postal		59.7912406638006	10.8815319575929						
