StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2	DescriptionEN
RE33	Nesoddtangen	Tangen Centrum	Nesoddtangen	AKERSHUS	NO	1450	95 83 70 00	https://www.dnb.no		Real estate		59.8697052	10.65736675							<br/> 
RE77	Alta	L&oslash;kkeveien 41	Alta	FINNMARK	NO	9509	94 86 20 00	https://www.dnb.no		Real estate		69.96669769	23.271318700000002							<br/> 
RE83	Arendal	Peder Thomassonsg. 12	Arendal	AUST-AGDER	NO	4809	94 85 90 00	https://www.dnb.no		Real estate		58.46093913	8.765317234000001							<br/> 
RE11	Asker	Bankveien 1, Postboks 170	Asker	AKERSHUS	NO	1371	97 64 30 00	https://www.dnb.no		Real estate		59.8346138	10.43420982							<br/> 
RE19	Askim	A.B. Aarstensgt. 2, Postboks 453	Askim	&Oslash;STFOLD	NO	1801	90 83 90 00	https://www.dnb.no		Real estate		59.58274296	11.16103717							<br/> 
RE97	Ask&oslash;y	Gamle Kleppest&oslash;v. 2	Kleppest&oslash;	HORDALAND	NO	5300	96 22 80 00	https://www.dnb.no		Real estate		60.41019439	5.227164268							<br/> 
RE61	Bekkestua	Gamle Ringeriksvei 32	Bekkestua	AKERSHUS	NO	1357	95 36 40 00	https://www.dnb.no		Real estate		59.91550064	10.58883762							<br/> 
RE22	Bergen - Nybygg	Bryggesporen 1	Bergen	HORDALAND	NO	5001	90 22 77 77	https://www.dnb.no		Real estate		60.39543151	5.326456069							<br/> 
RE24	Bod&oslash;	Moloveien 16	Bod&oslash;	NORDLAND	NO	8003	95 76 30 00	https://www.dnb.no		Real estate		67.28136607	14.37352589							<br/> 
RE7	Bod&oslash; - Glasshuset	Storgt. 3 B	Bod&oslash;	NORDLAND	NO	8006	97 49 20 00	https://www.dnb.no		Real estate		67.28391265	14.37779835							<br/> 
RE55	Brumunddal	Ringsakerveien 4	Brumunddal	HEDMARK	NO	2380	94 81 70 00	https://www.dnb.no		Real estate		60.88590785	10.93856171							<br/> 
RE12	Bryggesporen	Bryggesporen 1, Postboks 633	Bergen	HORDALAND	NO	5807	94 84 60 00	https://www.dnb.no		Real estate		60.39541244	5.326663494							<br/> 
RE34	Bryne	Hetlandsgata 9	Bryne	ROGALAND	NO	4340	94 17 40 00	https://www.dnb.no		Real estate		58.734317	5.650277							<br/> 
